"source_type";"author";"publication_year";"name";"institution";"web_url"
"Report";"Nice Ride Minnesota";"2015";"Nice Ride Minnesota 2014 Annual Report and 2015 Mid-Season Update";"Nice Ride Minnesota";"https://www.niceridemn.org/_asset/tq8t0k/NiceRideMN-Annual-Report-2015web.pdf"
"Website";"City of Minneapolis";"NA";"Bicycle Master Plan";"City of Minneapolis";"http://www.minneapolismn.gov/bicycles/WCMS1P-135610"
"Website";"City of Minneapolis";"NA";"Bicycle Laws and Ordinances";"City of Minneapolis";"http://www.ci.minneapolis.mn.us/bicycles/safety/WCMS1P-135619"
"Website";"San Antonio B Cycle";"NA";"San Antonio B Cycle: Rates";"San Antonio B Cycle";"https://sanantonio.bcycle.com/top-nav-pages/rates"
"Online News Article";"Todd G. Allen";"2011";"Bike Sharing in Texas: San Antonio Rolls Out Program Aimed at Energy Efficiency and Public Health";"Energy.Gov";"https://energy.gov/articles/bike-sharing-texas-san-antonio-rolls-out-program-aimed-energy-efficiency-and-public-health"
"Website";"City of San Antonio";"2014";"FY 2014 annual Report";"City of San Antonio";"http://www.sanantonio.gov/Annual-Report/Innovation/We-are-driven-by-continuous-improvement/Sustainability"
"Report";"San Antonio B Cycle";"2013";"San Antonio Bike Share July 2012-June 2013 Annual Report";"San Antonio B Cycle";"http://therivardreport.com/wp-content/uploads/2014/03/2013_b-cycle-annualreport.pdf"
"Blog";"Josh Cohen";"2015";"San Antonio Bike-Share Threatens to Close Without Major Sponsor";"Next City";"https://nextcity.org/daily/entry/san-antonio-bike-share-close-sponsor-money"
"Website";"ADCB Bikeshare";"NA";"ADCB Bikeshare: Homepage";"ADCB Bikeshare";"https://www.bikeshare.ae/about/"
"Online News Article";"Hala Khalaf";"2015";"The wheels are turning in Abu Dhabi with the ADCB bikeshare programme";"The National";"http://www.thenational.ae/arts-life/cycletoworkuae/20151214/the-wheels-are-turning-in-abu-dhabi-with-the-adcb-bikeshare-programme"
"Website";"Greenolution";"NA";"Greenolution: About Us";"Greenolution";"http://www.greenolution.in/aboutus.php"
"Press Release";"DMRC";"2015";"Delhi Metro Launches Public Bicycle Sharing Facility";"Delhi Metro Rail Corporation Ltd.";"http://www.delhimetrorail.com/press_reldetails.aspx?id=C0KYrggV5Fslld"
"Article";"HS Sudhira";"2014";"Getting around on Namma Cycle";"Connect: Newsletter of the Indian Institute of Science Volume 1 Issue 4";"http://apc.iisc.ernet.in/newsletter/pdf/issue42014.pdf"
