"name";"lat";"lng";"population";"iso3";"province"
"Akure";7.250395934;5.199982054;420594;"NGA";"Ondo"
"Ikare";7.530430521;5.759999551;899965.5;"NGA";"Ondo"
"Owo";7.200398986;5.589984089;200912;"NGA";"Ondo"
"Ondo";7.0904057;4.840004027;256444;"NGA";"Ondo"
"Ado Ekiti";7.630372741;5.219980834;446749;"NGA";"Ekiti"
"Ife";7.480433572;4.560021117;482365;"NGA";"Osun"
"Oshogbo";7.770364196;4.560021117;408245;"NGA";"Osun"
"Oyo";7.850436828;3.929982054;475016.5;"NGA";"Oyo"
"Awka";6.210433572;7.06999711;400828.5;"NGA";"Anambra"
"Onitsha";6.140412007;6.779988972;73374;"NGA";"Anambra"
"Azare";11.68040977;10.19001339;87912.5;"NGA";"Bauchi"
"Bauchi";10.3103642;9.84000891;244350.5;"NGA";"Bauchi"
"Gombe";10.29044293;11.16995357;260312;"NGA";"Gombe"
"Kumo";10.04570335;11.21305172;19249;"NGA";"Gombe"
"Sapele";5.890427265;5.680004434;235424;"NGA";"Delta"
"Nsukka";6.867034321;7.383362995;111017;"NGA";"Enugu"
"Lokoja";7.800388203;6.739939737;52650.5;"NGA";"Kogi"
"Idah";7.110404479;6.739939737;71895;"NGA";"Kogi"
"Lafia";8.490423603;8.5200378;79470.5;"NGA";"Nassarawa"
"Keffi";8.849032205;7.873617308;77056.5;"NGA";"Nassarawa"
"Funtua";11.5203937;7.320007689;158643;"NGA";"Katsina"
"Katsina";12.99040733;7.599990599;432149;"NGA";"Katsina"
"Gusau";12.1704057;6.659996296;185925;"NGA";"Zamfara"
"Nguru";12.8803882;10.44999752;82481;"NGA";"Yobe"
"Gashua";12.87049217;11.03998734;74825.5;"NGA";"Yobe"
"Potiskum";11.7103821;11.0799849;82733.5;"NGA";"Yobe"
"Birnin Kebbi";12.45041445;4.199939737;102340.5;"NGA";"Kebbi"
"Koko";11.42319033;4.516974649;25792;"NGA";"Kebbi"
"Mubi";10.2703408;13.2700321;214710;"NGA";"Adamawa"
"Numan";9.460441914;12.04002966;45173;"NGA";"Adamawa"
"Ilorin";8.490010192;4.549995889;701742;"NGA";"Kwara"
"Minna";9.619992898;6.550028848;249038;"NGA";"Niger"
"Zaria";11.0799813;7.710009724;754836.5;"NGA";"Kaduna"
"Jos";9.929973978;8.890041055;737068.5;"NGA";"Plateau"
"Yola";9.209992085;12.48000281;92253;"NGA";"Adamawa"
"Benin City";6.340477314;5.620008096;929013;"NGA";"Edo"
"Maiduguri";11.84996014;13.16001298;704230;"NGA";"Borno"
"Port Harcourt";4.810002257;7.010000772;1020000;"NGA";"Rivers"
"Makurdi";7.729979064;8.530011351;245367.5;"NGA";"Benue"
"Ibadan";7.380026264;3.929982054;2221285;"NGA";"Oyo"
"Ogbomosho";8.130006326;4.239988972;595063.5;"NGA";"Oyo"
"Warri";5.519958922;5.759999551;683064.5;"NGA";"Delta"
"Kaduna";10.52001548;7.440000365;1191296.5;"NGA";"Kaduna"
"Enugu";6.450031351;7.499996703;688862;"NGA";"Enugu"
"Sokoto";13.06001548;5.240031289;648019.5;"NGA";"Sokoto"
"Abuja";9.083333149;7.533328002;869067.5;"NGA";"Federal Capital Territory"
"Kano";11.99997683;8.5200378;3140000;"NGA";"Kano"
